,accuracy,precision,recall,f1
SGD_Momentum_L2,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
Steepest_GD,0.9649122807017544,0.9466666666666667,1.0,0.9726027397260273
Init_Correlation,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
Init_MultiStart,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
Presentation_Margin,0.9473684210526315,0.9333333333333333,0.9859154929577465,0.9589041095890412
Sklearn_SVC,0.956140350877193,0.9714285714285714,0.9577464788732394,0.9645390070921985
