iter,Q,step_norm
0,105.4871755537288,5.734410860264184
1,59.0956126660119,3.7622249591040067
2,37.26482725499667,8.413733636740881
3,25.70286373415434,15.769185809877772
4,18.213765638717575,21.96019025496215
5,12.538578720648326,30.00671182734901
6,8.633823457999661,60.04212809034798
7,5.311025698200358,141.83416233286485
8,2.385374800003944,281.7330433604473
9,0.9022721775173567,322.78967638029167
10,0.3346515192990578,320.94496057919116
11,0.1228690435299569,321.88252671984174
12,0.04512984153798753,300.2081715957204
13,0.016603573602336604,293.8181089051164
14,0.006115137034359663,305.6490944398684
15,0.002254487217469743,309.3763594144019
16,0.0008334446816136731,297.92133040636344
17,0.00031022078359761686,264.20333310017986
18,0.00011682456243258423,192.2264342910783
19,4.398793260951252e-05,87.58478610955069
20,1.6717890957616318e-05,77.78882884015933
21,6.613670825447357e-06,69.25495083923161
22,2.8450638488008093e-06,58.787694120777
23,1.3837333232396365e-06,47.90258626627858
24,7.752852716254263e-07,36.51205877754259
25,4.889064414664132e-07,26.71857915122154
26,3.3850238957452625e-07,20.549125822551993
27,2.556002009290606e-07,16.025091051978404
28,2.035806995923624e-07,13.152043694508723
29,1.6823556961174233e-07,11.115871916249821
30,1.4279597193983894e-07,9.60932203242585
31,1.2367302023997107e-07,8.454254097496712
32,1.0880681834484082e-07,7.543401653704284
33,9.693710578990668e-08,6.809044923713547
34,8.725221863895925e-08,6.205959151834641
35,7.92070482016219e-08,5.70269650809536
36,7.242265396781243e-08,5.276964296195939
37,6.66278083679974e-08,4.912283379015256
38,6.162351492748766e-08,4.596354814141794
39,5.726036366767292e-08,4.320293029836704
40,5.342415917159866e-08,4.076867538202384
41,5.0026174209484546e-08,3.8608305140170094
42,4.699645307399012e-08,3.6678458499032147
43,4.42791103697005e-08,3.4943863624466696
44,4.182896850830971e-08,3.337627587162953
45,3.960911253661415e-08,3.195276203277738
46,3.758908405705436e-08,3.0654504837983687
47,3.574352823570988e-08,2.9465909655642015
48,3.405116785582188e-08,2.837391327655638
49,3.249401582213372e-08,2.736750269248268
50,3.1056764048967685e-08,2.6437299681467157
51,2.972630502001533e-08,2.557524711149568
52,2.849135243417971e-08,2.477438906781858
53,2.7342138483226548e-08,2.4028651919866637
54,2.6270169114909086e-08,2.3332746105982447
55,2.5268025598979345e-08,2.268200239615857
56,2.4329201503359414e-08,2.2072309141767286
57,2.3447968265915094e-08,2.150002181477325
58,2.2619263605765337e-08,2.096191949966681
59,2.1838598408924212e-08,2.0455116766074726
60,2.110197867279566e-08,1.9977046969099246
61,2.0405839444585815e-08,1.9525420608501145
62,1.9746989399172774e-08,1.9098169699698988
63,1.912256321948071e-08,1.8693447671618
64,1.8529981264195623e-08,1.8309589714211096
65,1.7966915113929645e-08,1.794508174089337
66,1.743125775385821e-08,1.7598560290984517
67,1.6921098070692355e-08,1.7268774834844645
68,1.6434698697594972e-08,1.6954596143860452
69,1.5970476630544845e-08,1.665499155943606
70,1.552699604094958e-08,1.6368423634007905
71,1.5102940827750077e-08,1.6094226662008777
72,1.46970964562931e-08,1.5832145660984227
73,1.4308347174715454e-08,1.5581489540983364
74,1.393566694145267e-08,1.5341556160861098
75,1.3578110703162028e-08,1.5111685852652845
76,1.323480807926672e-08,1.489118631666488
77,1.2904979434830389e-08,1.4678186387503713
78,1.2587869196931919e-08,1.4474079576313932
79,1.2282780274397886e-08,1.427820136771427
80,1.1989067667559193e-08,1.4089959709731106
81,1.1706133296864936e-08,1.3908840257001096
82,1.1433421589856523e-08,1.373439117626535
83,1.1170415667176744e-08,1.3566194744546105
84,1.0916633710196955e-08,1.3403896266593232
85,1.0671625872415869e-08,1.3247166285628533
86,1.0434972345234269e-08,1.309566061472842
87,1.0206280075566177e-08,1.2949106487478346
88,9.985181000855461e-09,1.280723326368333
89,9.771330363384812e-09,1.2669766056324057
90,9.564404445025972e-09,1.2536474640299704
91,9.364099308086298e-09,1.2407126644877347
92,9.17012927557843e-09,1.2281508409099877
93,8.982225499193095e-09,1.2159406421487193
94,8.800135000346062e-09,1.204062338944609
95,8.623619144039094e-09,1.1924989989807073
96,8.452452733866899e-09,1.1812338785813137
97,8.286423557113941e-09,1.1702473731169583
98,8.12533109803801e-09,1.159524424985743
99,7.968985282516253e-09,1.1490535378370907
100,7.817206701461388e-09,1.1388178033970748
101,7.669825211479415e-09,1.128804963769677
102,7.526679466401618e-09,1.1190036436553283
103,7.387616111974963e-09,1.1094045574222438
104,7.2524898170349145e-09,1.0999944343375727
105,7.1211619262075005e-09,1.0907679263499896
106,6.9935004175509735e-09,1.0817159942311187
107,6.869379425105587e-09,1.072832641398191
108,6.7486786988466256e-09,1.064111818701965
109,6.631351860198623e-09,1.0549215587233967
110,6.517295953333243e-09,1.0458103178989238
111,6.406389224370987e-09,1.036988525527124
112,6.298518445012435e-09,1.0284270054115692
113,6.193576008250254e-09,1.0201080594194822
114,6.091459680586948e-09,1.0120162292019939
115,5.992113299972595e-09,1.0038477970198496
