iter,Q,step_norm
0,105.4871755537288,5.734410860264184
1,59.095612666011974,3.762224959101043
2,37.26482725499677,8.41373363674293
3,25.702863734154484,15.76918580986003
4,18.21376563871736,21.96019025495952
5,12.53857872064768,30.006711827451404
6,8.633823457998064,60.04212809044704
7,5.311025698203527,141.8341623319267
8,2.3853748000090134,281.73304335943044
9,0.9022721775185951,322.7896763807743
10,0.3346515193018601,320.9449605733938
11,0.12286904353097021,321.882526718136
12,0.04512984153823618,300.2081715999786
13,0.016603573602473456,293.818108885598
14,0.006115137034436524,305.6490944109714
15,0.0022544872174848967,309.3763594502674
16,0.0008334446816200382,297.92133041348285
17,0.00031022078360188807,264.2033330615773
18,0.00011682456243330733,192.2264342444447
19,4.398793260981954e-05,87.58478612430402
20,1.6717890957740557e-05,77.78882884013191
21,6.613670825505667e-06,69.2549508415006
22,2.8450638488103397e-06,58.787694121673624
23,1.3837333232476147e-06,47.90258626627236
24,7.752852716297984e-07,36.51205877754666
25,4.889064414679578e-07,26.718579151223814
26,3.385023895745831e-07,20.549125822551577
27,2.556002009610993e-07,16.025091045603517
28,2.035806995914799e-07,13.152043739472763
29,1.6823556953023749e-07,11.11587192852936
30,1.4279597191300676e-07,9.609321991986112
31,1.2367302023511966e-07,8.45425411532546
32,1.0880681839560613e-07,7.543401638040671
33,9.69371058176763e-08,6.809044893262622
34,8.725221869096832e-08,6.205959083758375
35,7.920704823072891e-08,5.702696501904743
36,7.242265398198295e-08,5.276964312499627
37,6.662780841480372e-08,4.9122834218064755
38,6.162351495861974e-08,4.596354814351782
39,5.726036367080391e-08,4.320293116734629
40,5.342415917551723e-08,4.076867494398667
41,5.0026174229971506e-08,3.8608304398976707
42,4.699645310273497e-08,3.6678457877510118
43,4.4279110366105055e-08,3.4943865094745363
44,4.182896853613225e-08,3.3376274832768864
45,3.960911260346951e-08,3.1952760509469424
46,3.7589084036265167e-08,3.0654506812721953
47,3.574352818793143e-08,2.946591070682912
48,3.405116785558763e-08,2.837391080274655
49,3.2494015815962344e-08,2.7367501794444635
50,3.105676402847024e-08,2.6437300468815534
51,2.9726304947395494e-08,2.5575251540061723
52,2.8491352411456928e-08,2.4774386186638293
53,2.7342138459779137e-08,2.402865230947762
54,2.627016912075113e-08,2.3332743230289035
55,2.5268025647202125e-08,2.268200094650034
56,2.4329201549553167e-08,2.207230852224104
57,2.3447968280296572e-08,2.150002596903957
58,2.261926363234579e-08,2.09619178752833
59,2.183859846757196e-08,2.045511531929111
60,2.1101978725660553e-08,1.9977047004210273
61,2.040583947414377e-08,1.9525421706536543
62,1.9746989439043184e-08,1.9098169509966048
63,1.912256319825077e-08,1.869345219979349
64,1.8529981207749973e-08,1.830959174744292
65,1.7966915079054102e-08,1.7945079798775927
66,1.7431257730895457e-08,1.759856014051448
67,1.6921098093496094e-08,1.7268773257878443
68,1.6434698703199187e-08,1.6954596454649702
69,1.5970476635165092e-08,1.6654991817994431
70,1.5526996045853814e-08,1.6368423653574045
71,1.510294083753073e-08,1.609422671755922
72,1.4697096461293902e-08,1.583214643647902
73,1.4308347198979514e-08,1.5581488636066145
74,1.3935666984820721e-08,1.5341552479181713
75,1.3578110738931593e-08,1.511168616860269
76,1.323480812774408e-08,1.4891186002093124
77,1.2904979473196346e-08,1.467818744436208
78,1.2587869353699515e-08,1.4474070793781224
79,1.2282780404367323e-08,1.427820112810169
80,1.198906776461072e-08,1.4089962481081062
81,1.1706133401496952e-08,1.3908840698226819
82,1.1433421729702234e-08,1.3734389433859606
83,1.117041580934582e-08,1.3566194744894577
84,1.0916633707560161e-08,1.3403905865146433
85,1.0671625889079932e-08,1.324716682098574
86,1.0434972350712647e-08,1.3095660758365684
87,1.0206280084715483e-08,1.2949105979474729
88,9.985181046741092e-09,1.2807231741834821
89,9.771330408685821e-09,1.2669765700294486
90,9.564404438601742e-09,1.2536476834203423
91,9.364099336175216e-09,1.2407125241992456
92,9.17012928141785e-09,1.228150881718098
93,8.982225511335837e-09,1.2159406642894077
94,8.800135007922328e-09,1.2040624209400468
95,8.623619145190263e-09,1.1924989773137922
96,8.452452691422794e-09,1.1812342069230073
97,8.286423575638547e-09,1.1702470089323938
98,8.125331074278822e-09,1.1595245498006088
99,7.968985269594889e-09,1.1490535182845554
100,7.817206817770471e-09,1.1388166385152658
101,7.66982530601684e-09,1.1288050683766702
102,7.526679555796554e-09,1.1190036518075004
103,7.387616194935929e-09,1.1094046695268946
104,7.252489900245679e-09,1.099994499686712
105,7.1211620211749155e-09,1.0907678559604836
106,6.993500525753386e-09,1.0817158476850826
107,6.869379540909766e-09,1.0728327415366343
108,6.748678818686846e-09,1.0641117469119707
109,6.631351980971041e-09,1.0549215974341164
110,6.517296029417628e-09,1.0458103285350937
111,6.4063893387077724e-09,1.0369883843412868
112,6.298518573588234e-09,1.0284268537753618
113,6.193576093986956e-09,1.0201083828769337
114,6.091459754629139e-09,1.012016265313908
115,5.99211336341178e-09,1.0038477750817383
