component,explained_variance,explained_variance_ratio
1,4.033335944597579,0.40242107501527874
2,1.4957036224458558,0.1492319677598693
3,1.2087008764926326,0.1205966259125002
4,0.9576430164234433,0.0955476403264114
5,0.6636829363710849,0.06621813912661728
6,0.6040837810070196,0.06027170756201258
7,0.5377823544788324,0.05365656523193779
8,0.43466544234373755,0.04336820363655842
9,0.07849762088843927,0.007832002446108984
10,0.008580141912828588,0.0008560729827052956
